,title,body,impression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"The tuna was amazing, but everything else was disappointing.","Located just near Omotesando Station, I visited Kaiten Sushi Ginza Onodera after hearing a lot of buzz on social media.On a weekday around 1 PM, there were about 8 groups ahead of me, and I waited around 20 minutes to be seated. It seemed like around 80% of the customers were foreign tourists. The atmosphere felt more geared towards inbound visitors rather than sushi enthusiasts.You order from a panel, and the staff places the sushi on the non-moving conveyor belt. The interior has a sophisticated vibe, but the staff lacked energy and a sense of hospitality.I initially ordered yellowtail, salmon, sweet shrimp, and geoduck, but both the salmon and yellowtail were average and didn’t impress me. The shrimp and shellfish had a strong fishy smell, which was quite disappointing. I’ve never encountered such a fishy taste even at budget conveyor sushi chains.Undeterred, I tried the medium fatty tuna and tuna gunkan (sushi rolls), and the tuna was incredibly delicious. It’s their specialty, and I was relieved to find it lived up to its reputation. The medium fatty tuna was large and melt-in-your-mouth, providing a satisfying experience.I hesitated to order more, but fearing another disappointing dish, I decided to leave. For better cost performance and taste, I’d recommend visiting other popular conveyor sushi spots instead of this one, aside from the tuna.","Here are the words representing the reviewer's impressions:

* buzz (positive)
* impressed (neutral)
* disappointing (negative)
* relieved (positive)
* delicious (positive)
* satisfying (positive)
* disappointing (negative)
* hesitant (neutral)
* fearing (negative)
* recommend (positive)

Note that some words may have multiple connotations or nuances, but I've tried to extract the primary impression conveyed by each word.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"A renowned spot in Ginza, but the rice and vinegared flavor could use some improvement.","To be upfront, I don't have much experience with high-end sushi, so I'm not sure if my evaluation is fair. However, personally, I feel it doesn't quite live up to the other reviews.If I wanted standing sushi (not that this place is one), I would go elsewhere.It's located down an alley in Omotesando. You can wait in line using E park, but on a Thursday after 6 PM, it wasn't even necessary.That's impressive enough. There were many inbound tourists, but also a few Japanese customers.The ceiling sparkles, giving a luxurious impression. It definitely has a photogenic vibe.I started off with a beer.Now, the menu is on a tablet. There are many tempting options, and while the prices are reasonable, they are still on the higher side.I ordered a few items at random.Overall impressions:- The fish was decent, but nothing stood out, and it didn't fully bring out the quality of the ingredients.- The rice left no impression. If I recall correctly, it was a bit hard. It was red vinegar, but I can't remember any distinct flavorswas it sour or sweet?- For high-end sushi, I expect a harmony between the fish and rice, but this felt more like a mid-range conveyor belt sushi level.Well, if this is the quality for the price, I think I’m good with that.The freshly prepared sea bream and the swordfish were quite tasty, though.I hope they can attract more inbound demand.Thank you for the meal!","Here are the words representing the reviewer's impressions:

* fair
* doesn't quite live up
* impressive
* luxurious
* photogenic
* decent
* nothing stood out
* didn't fully bring out
* left no impression
* hard
* sour or sweet
* harmony
* mid-range
* quite tasty
* good

These words convey the reviewer's mixed impressions of the sushi restaurant, ranging from positive (impressive, luxurious, photogenic, quite tasty) to neutral (decent, nothing stood out) to negative (doesn't quite live up, didn't fully bring out, left no impression, hard, sour or sweet, mid-range).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A restaurant catering to foreign travelers,"Kaiten Sushi Onodera near Omotesando Station.I made a reservation online and was told to expect a one-hour wait, but I received a notification that my table was ready just 15 minutes later. Since I was far away, I arrived 15 minutes after the notification, only to find that I had to check in again and ended up waiting an additional 30 minutes.The system was confusing, and perhaps due to the busy atmosphere, the staff at the reception seemed a bit rude.All orders are placed via iPad, with each piece of sushi costing around JPY 500.The sushi was incredibly delicious! The raw sakura shrimp gunkan and toro-taku were especially tasty!While the staff poured Japanese sake with cheerful shouts, which might be fun for foreign travelers, personally, I felt that it wasn't necessary to be here.","Here are the words representing the reviewer's impressions:

* ""incredibly delicious""
* ""especially tasty""
* ""fun""
* ""not necessary""

These words convey the reviewer's positive and negative emotions towards their experience at the sushi restaurant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The Best Kaiten Sushi,"This is my second visit!The sushi is incredibly fresh, with thick cuts that are absolutely delicious!My top recommendation is the comparison tasting of yellowtail. The rich fat content really enhances the flavor.The fish broth is also packed with meat, making it a must-try dish.The atmosphere and the service from the staff are both excellent, making me want to come back again and again! I will definitely return.","Here are the words representing the reviewer's impressions:

* ""incredibly""
* ""absolutely""
* ""delicious""
* ""rich""
* ""enhances""
* ""excellent""
* ""want to come back again and again""
* ""definitely""

These words convey a strong positive impression of the sushi restaurant, indicating that the reviewer was very pleased with their experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,You might not be able to get in right away when the restaurant opens.,"【Notes, Points】There is a ticket machine at the entrance.You can get a point card by registering as a friend on LINE.Ordering is done via a tablet, and the sushi is not on a conveyor belt.【Motivation】I decided to revisit because I had a good impression from my last visit.【Order, Visit Date Situation】Dined in with three family members.Arrived at the entrance around 9:40 AM on a holiday Monday.I took a ticket and waited with four other groups.On this day, there were 23 groups waiting around 10:27 AM.I parked my car in a nearby street parking (JPY 300 for 60 minutes) and went to wait at the entrance around the opening time of 10:27 AM.The restaurant opened around 10:32 AM.I was guided inside according to my ticket number and seated.I placed my order through the tablet and settled the bill at the end.Payment was made using a credit card at the register near the entrance when leaving.【Impressions, etc.】I ordered more sushi than what is shown in the photos, and I did not drink any alcohol.The total bill for three family members was around JPY 25,000.The prices are on the higher side, but the sushi was quite delicious.The atmosphere felt somewhat like a restaurant aimed at tourists.","Here are the words representing the reviewer's impressions:

* good
* delicious
* higher side
* somewhat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Inbound-Friendly Kaiten Sushi in Omotesando,"Dinner during Golden Week.At the casual branch of Kaiten Sushi Ginza Onodera, you can order sushi according to your appetite, making it easy to enjoy a light meal.The restaurant is a dazzling large establishment in Omotesando. You can easily spot it by the crowd of customers waiting around the entrance. About 80% of those waiting were inbound foreign visitors.We made a web reservation and arrived earlier than the estimated time of 4 hours. The system is quite unreliable, as it notifies you of your turn while you’re still on the train, which makes the estimated time feel low-precision. However, since we had a reservation, we checked in and were called shortly after. In the end, making a reservation is definitely recommended.Orders are placed individually on tablets. According to my daughter’s research, the recommended item is the Hon Maguro from Yamako, with prices like JPY 730 for Chutoro (medium fatty tuna) and JPY 990 for Otoro (fatty tuna). I wondered if these were tourist prices, but we went ahead and ordered.The highlights included Otoro, Chutoro, Nakaochi Gunkan, Aosa Miso Soup, and Aburi Salmon, with my daughter particularly enjoying the Hokkaido live octopus.The Aburi Salmon had just the right amount of fat and saltiness, which I liked. The Aosa Miso Soup was delicious with a rich shellfish broth. My daughter loved the Hokkaido live octopus so much that we ordered three plates of it. However, the Murasaki Uni (purple sea urchin) was honestly a bit disappointing, as it lacked the expected flavor of uni.The prices are on the higher side! I believe you can find sushi of the same quality for a bit cheaper at places like Tsukiji. But for foreign visitors, the entertainment value might make it worth recommending.","Here are the words representing the reviewer's impressions:

* dazzling
* easy
* light
* unreliable
* low-precision
* recommended
* delightful
* wonderful
* rich
* delicious
* loved
* disappointing
* higher
* worth recommending

Note that some of these words may have multiple connotations or nuances, and the reviewer's tone may vary throughout the review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Enjoy famous sushi in a casual setting,"I finally got to visit Onodera, a place I had wanted to try for a long time! It definitely had an atmosphere geared towards inbound tourists, with many visitors from abroad. Perhaps because my expectations were so high, I felt the cost-performance ratio was lacking. The toro and otoro made with Yamako's tuna were incredible, but I found them difficult to chew. The price per piece seemed to range from JPY 400 to JPY 1000. For tourists, I think it’s a great option!  If you want to eat a lot, I estimate it would cost around JPY 10,000 per person.","Here are the words representing the reviewer's impressions:

* ""wanted"" (anticipation)
* ""definitely"" (positive)
* ""lacking"" (disappointment)
* ""incredible"" (amazing)
* ""difficult"" (negative)
* ""great"" (positive)
* ""estimate"" (caution)

Note that some words may have multiple connotations, but I've extracted the primary impression-based words from the review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,The Most Famous Tuna Kaiten Sushi Restaurant: Ginza Onodera,"I've been wanting to visit this sushi restaurant for a long time. It's a kaiten sushi place from the Onodera group, famous for winning the top tuna at auctions every year.I had lunch at their main branch in Ginza before, and it was incredibly delicious, so my expectations were high even for a kaiten sushi restaurant.They open at 10:30 AM, and I arrived at 11:00 AM. After about a 10-minute wait, I was seated! Although it’s called kaiten sushi, the sushi doesn’t actually rotate. You order via a touch panel and receive your sushi directly from the staff.I focused on tuna, ordering seared chutoro, chutoro, tekka maki, and akami. Even considering my tuna bias, everything was incredibly tasty! Surprisingly, the akami was quite fatty and I loved it! Of course, the chutoro was even more melt-in-your-mouth delicious.I also enjoyed my favorite engawa and bonito. The bonito was in season and incredibly fresh!I had plans for a caf as my second stop, so I finished with about 60% fullness.At around JPY 4500 for this amount, it felt a bit pricey, but the taste is guaranteed. I recommend it for those who want to enjoy delicious sushi without a high barrier to entry, especially if you love tunait's definitely worth a visit!","Here are the words representing the reviewer's impressions:

* incredibly delicious
* high
* incredibly tasty
* melt-in-your-mouth delicious
* loved
* fresh
* a bit pricey
* definitely worth a visit

Note that some of these words may have multiple connotations or nuances, but in general, they convey a positive impression of the sushi restaurant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Melt-in-your-mouth Nakaochi Gunkan,"The Yamakou tuna is truly exceptional.This is my second visit.Recommended dishes: Nakaochi GunkanI ordered this for the first time, and it was a huge hit! It has the richness of chutoro, melting in your mouth with incredible flavor. I could eat as many as I want. Hand-rolled SushiYou can really taste the flavor of the seaweed, and there’s tuna all the way to the endsuch a luxurious treat. EngawaThick and with a delightful crunch! The richness is surprising for the price, and the quality is outstanding.The rice is made with red vinegar, but it’s not overpowering and enhances the flavor of the toppings. Additionally, the option to choose less rice is a nice touch! It’s a considerate service for women and those with smaller appetites.Important note for visitors:You can register for a waitlist through EPARK. They stopped accepting registrations around 19:40, so I recommend arriving early if you plan to visit!The restaurant was very lively with many foreign tourists. It felt like over 90% of the customers were from abroad, and the prices seem to cater to international visitors.","Here are the words representing the reviewers' impressions:

* Exceptional
* Huge hit
* Incredible
* Luxurious
* Surprising
* Outstanding
* Delightful
* Considerate
* Nice
* Lively

These words convey the reviewers' positive emotions and impressions of the sushi restaurant, including their surprise, delight, and enthusiasm for the food and service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Casual Authentic Edomae Sushi! The Pinnacle of ""Kaiten Sushi"" in Omotesando","Enjoy high-end Edomae sushi casually at ""Kaiten Sushi Ginza Onodera"" in Omotesando!Here’s the restaurant info:【Kaiten Sushi Ginza Onodera Main Branch】Tabelog ☁E.52Ranked 10th in the sushi category at Omotesando Station Shibuya Ward Rankings  Overall: 733rd Kaiten Sushi Category: 1st* Tabelog information as of April 8, 2025【Highlights of the Restaurant、EKaiten Sushi Ginza Onodera Main Branch"""" is a kaiten sushi restaurant operated by the renowned """"Ginza Onodera"""". The charm lies in enjoying high-end Edomae sushi casually"," starting from just one piece. Especially noteworthy is the authentic tuna sourced from the specialized wholesaler """"Yama Ko""""", which is simply exquisite. You can enjoy akami, chutoro, and otoro! The interior features counter seating and box seating, making it perfect for both dates and family outings!【Ordered Items、ESushiKohada, akami, simmered anago, turban shell, shirasu gunkan, swordfish, hokkigai, kampachi, buri toro, three pieces of meji maguro, shrimp, chutoro, shima aji, sweet shrimp, octopus, scallop, otoro, kuruma ebi, and chicken squid. Chawanmushi Ara-jiru Ramune," ginger ale【Impressions】I had the pleasure of enjoying luxurious kaiten sushi at """"Kaiten Sushi Ginza Onodera Main Branch"""""," just a minute's walk from Omotesando Station! The authentic tuna from """"Yama Ko"""" was exceptional", with each piece melting in my mouth, from akami to otoro. Additionally, the lively atmosphere when the chef prepared fresh sushi right in front of us was a delightful experience, and the excitement when ordering Japanese sake made both local and international guests very happy! The quality of the sushi was astonishing for a kaiten sushi restaurant! (Though it wasn't actually rotating," haha!)It truly is """"kaiten sushi"""" at its finest!Personally", I found the kampachi, buri toro, otoro, scallop, and kuruma ebi to be particularly delicious!The atmosphere was casual, with counter seating surrounding the chefs, making for a relaxed dining experience. I was fortunate to have a wonderful chef serving us that day!【Recommended Menu、EKampachiThat day, the freshly prepared fish was kampachi! I couldn’t resist ordering after seeing the fun and delicious performance!It had a great texture and a rich, sweet flavor! OtoroThis was the authentic otoro from Yama Ko!The fat content was incredible, yet it felt delicate and not heavy at all. Kuruma EbiI enjoyed both live and boiled kuruma ebi, experiencing the fun of different cooking methods that changed the flavor and texture, along with the delightful bounce of the shrimp! ScallopThe size of the scallops was unbelievable! Not only were they large, but the flavor spread throughout my mouth was simply the best!【Restaurant Information】Name: Kaiten Sushi Ginza Onodera Main BranchAddress: 5-1-6 Jingumae, Shibuya-ku, Tokyo, 1F Il Palazzino OmotesandoNearest Station: Omotesando Station, A1 Exit," 1-minute walkPhone Number: 050-3085-1700Business Hours: 10:30 AM  10:30 PM (Last Order 10:00 PM)Closed: Irregular holidays""","Here are the words representing the reviewer's impressions:

* Luxurious
* Exceptional
* Delightful
* Astonishing
* Finest
* Relaxed
* Wonderful
* Great
* Rich
* Sweet
* Incredible
* Delicate
* Fun
* Delicious
* Unbelievable
* Best

These words convey the reviewer's positive impressions of the sushi restaurant, including the quality of the food, the atmosphere, and the service."
